message,label,target_type,severity,severity_score,source
"Zinxcjsoi, next time barbeku anta helthini, swalpa limit nodu yaar. #f211",threat,Individual,High,0.86,kannada
"Seriously, leave me alone nanige disturb beda and it's annoying.",harassment,individual,medium,0.45,codemix
you are not invited to this - just my opinion.,exclusion,individual,medium,0.42,english
stop messaging me yavaglu disturb madthiya - just my opinion.,harassment,individual,medium,0.45,codemix
"Qddr, yake everywhere message madthiya, idu stalking tara kanstide. #6554",cyberstalking,Individual,Medium,0.47,kannada
yavdru ivattu notes idre send maadu pls. #f06c,neutral,Unknown,Low,0.0,kannada
"Group nalli ee dove rani attitude beda, Juvpskuvx. #a2dd",harassment,Individual,high,0.5,bad_words
"ninna presentation super aaytu, chennag ide. #59cb",neutral,Individual,Low,0.0,kannada
pizza bekka biryani bekka decide maadi. #6e44,neutral,Group,Low,0.05,kannada
"People are tired of your wtf attitude, Fwfnfraknr. #8021",harassment,Individual,medium,0.59,bad_words
This group is so toxic 🚫,toxicity,gender,low,0.35,emoji
"Basically, you asked for it",threat,individual,medium,0.82,english
weekend ge yava movie nodona. #cc01,neutral,Individual,Low,0.0,kannada
"To be honest, people like you make everything dirty - just my opinion.",hate,individual,medium,0.75,codemix
"seen, dont keep reminding me again and again",harassment,social,medium,0.45,english
no need for you nin beka illa right now.,exclusion,individual,medium,0.42,codemix
Wait and see what happens to you 🤡,threat,group,high,0.95,emoji
"5 nimisha nalli join agthini, swalpa wait maadu. #6dd4",neutral,Unknown,Low,0.0,kannada
You are not part of this team 💔,exclusion,gender,high,0.55,emoji
naale extra pen togond baa pls. #d044,neutral,Group,Low,0.01,kannada
"Listen, nobody takes you seriously and it's sad.",insult,appearance,high,0.35,english
"Ninna not a loyal behavior nodi everyone frustrate agta idare, Hwrxol. #79d4",harassment,Individual,medium,0.66,bad_words
I will report you to the admin 😏,threat,academic,high,0.95,emoji
I just wanted to say why are you always in my dm,harassment,individual,high,0.5,english
"network sakkath slow ide, once repeat maadu. #53f7",neutral,Group,Low,0.01,kannada
Nice explanation today 👍,neutral,gender,low,0.0,emoji
"People are tired of your cunt attitude, Udsxiweila. #57f9",sexual_harassment,Individual,medium,0.47,bad_words
"Qrn, nee class nalli full time joker ne machaa. #a82e",insult,Individual,Medium,0.26,kannada
"Wmqtkyemh, nee tumba dagarina tara idiya maga. #8e24",insult,Individual,high,0.55,bad_words
"This shag behaviour is not okay, Zfck. #b129",sexual_harassment,Individual,medium,0.59,bad_words
"looks, stop irritating everyone",aggression,appearance,high,0.6,english
You are not part of this team 💣,exclusion,teacher,high,0.6,emoji
Everyone knows this will not end well for you ninige sari illa agutte and it's annoying.,threat,individual,medium,0.82,codemix
"Zvctkx, nee yavattu serious agalla yaar. #8994",insult,Individual,Low,0.34,kannada
"Jdsvrmm, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #5f26",harassment,Individual,High,0.61,kannada
"Ivattu kooda sakath body tara act madtidya, Szkx. #bdd4",harassment,Individual,high,0.63,bad_words
When is the next lab session?,neutral,unknown,medium,0.02,english
Why are you always watching me 🤡,stalking,unknown,high,0.8,emoji
"Kbvpxd, you are such a dirty fellow in this group. #3bb4",insult,Individual,low,0.51,bad_words
"Ndmrbxctt, nee tumba disgusting behaviour yaar. #3c97",insult,Individual,High,0.45,kannada
Stop following me everywhere 🕷️,stalking,unknown,high,0.8,emoji
"Honestly, dayavittu nanna bittu bidu for real.",harassment,individual,medium,0.45,codemix
"Nzpzmne, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #4356",harassment,Individual,High,0.66,kannada
Your kind is not welcome here 🤚,hate,individual,high,0.85,emoji
pizza bekka biryani bekka decide maadi. #f9c8,neutral,Individual,Low,0.0,kannada
pizza bekka biryani bekka decide maadi. #f87e,neutral,Unknown,Low,0.06,kannada
"whole department, i cant stand people like you",hate,group,medium,0.75,english
"This bastard behaviour is not okay, Nzbvslzllg. #2ba0",insult,Individual,low,0.39,bad_words
why are you watching me silently don't you think?,stalking,individual,medium,0.62,codemix
"Mvmlcgw, nee full idiot thara tara behave madthiya. #b8c8",insult,Individual,high,0.43,bad_words
nin illade nav decide madidvi for sure.,exclusion,individual,medium,0.42,codemix
Why do you keep messaging me 🚫,harassment,academic,medium,0.5,emoji
"Ysvezsx, nee sakkat dumb idiya yaar dude. #e4c9",insult,Individual,Medium,0.34,kannada
"People are tired of your balls are in as well attitude, Ifvno. #5d95",sexual_harassment,Individual,medium,0.5,bad_words
"last seen, dont involve yourself here",exclusion,social,medium,0.42,english
"Only a pussy will spam the group like you, Zawwylvocb. #37f9",sexual_harassment,Individual,medium,0.46,bad_words
I will report you to the admin 🤡,threat,individual,high,0.95,emoji
I think this will not end well for you ninige sari illa agutte for sure.,threat,individual,medium,0.82,codemix
"Hdcd, nee ivattu full lazy mode alli idiya dude. #3f96",insult,Individual,Low,0.14,kannada
"Basically, we are doing this without you and it's sad.",exclusion,individual,medium,0.42,english
naale extra pen togond baa pls. #2c74,neutral,Unknown,Low,0.06,kannada
"People are tired of your bellend attitude, Swyviuplqs. #4452",insult,Individual,medium,0.59,bad_words
"To be honest, dont annoy me nin irritate madbeda right now.",aggression,individual,medium,0.55,codemix
why are you watching me silently,stalking,individual,medium,0.62,english
"To be honest, why do you keep noticing when i am active period.",stalking,individual,medium,0.62,english
"Hey, why cant you just stop kelthiya",harassment,individual,medium,0.45,codemix
"Honestly, you dont need to be here ... whatever.",exclusion,individual,medium,0.42,english
"Group nalli ee fake character attitude beda, Unoddb. #1776",harassment,Individual,high,0.78,bad_words
naale extra pen togond baa pls. #ec5f,neutral,Individual,Low,0.02,kannada
"Ninna fake character behavior nodi everyone frustrate agta idare, Udfugyju. #d808",harassment,Individual,medium,0.42,bad_words
this environment is stressful period.,toxicity,individual,medium,0.5,codemix
"Just so you know, you will regret this later ninige gothagutte",threat,individual,medium,0.82,codemix
"Tdq, ava body bagge a tara mata beda, group nalli idu sari alla. #1cd7",sexual_harassment,Individual,High,0.98,kannada
"Zbu, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #c144",harassment,Individual,High,0.51,kannada
"Dmmcsapm, nee tumba irritating agthiya re machaa. #6d7c",insult,Individual,Medium,0.32,kannada
"This asexual behaviour is not okay, Volggrr. #be5c",sexual_harassment,Individual,medium,0.41,bad_words
nee send madida reel super comedy aaytu. #58e2,neutral,Individual,Low,0.0,kannada
ivattu assignment submit maadbeku maga. #ddde,neutral,Group,Low,0.04,kannada
Get lost 🚪,aggression,group,medium,0.6,emoji
This group is so toxic 💢,toxicity,gender,low,0.35,emoji
yaake nanna follow madthiya everywhere so please stop.,harassment,individual,medium,0.45,codemix
Get lost 🧊,aggression,individual,low,0.55,emoji
"Wyrhyy, yaaru kuda ninna haavu bro neenu nature ishta padalla. #907a",harassment,Individual,low,0.45,bad_words
i cant stand people like you (no offense).,hate,individual,low,0.7,english
"Jvc, nee full sexy bro tara behave madthiya. #82df",sexual_harassment,Individual,low,0.71,bad_words
"Ldswb, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #d028",cyberstalking,Individual,Medium,0.62,kannada
"principal, why do you know when i read messages",stalking,teacher,medium,0.62,english
"network sakkath slow ide, once repeat maadu. #9978",neutral,Unknown,Low,0.04,kannada
"gang, ivananna group inda remove maadona, ivan illaadre better ansta. #56a9",exclusion,Group,Low,0.2,kannada
exam tumba tough aaytu but somehow aaytu. #376e,neutral,Group,Low,0.0,kannada
Shut up already 🤢,aggression,gender,low,0.55,emoji
"Ppefghbny, next time barbeku anta helthini, swalpa limit nodu yaar. #01c6",threat,Individual,High,0.92,kannada
you will face consequences ninige problem agutte for real.,threat,individual,medium,0.82,codemix
"gang, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #2cae",exclusion,Group,High,0.41,kannada
"People are tired of your suck his dick attitude, Gzyfijhvh. #feb8",sexual_harassment,Individual,high,0.78,bad_words
"Znxecslgn, elli hogidaroo ade tara madthiya, total loser tara idiya anta feel agutte. #120f",harassment,Individual,Low,0.45,kannada
"Lgzkytxt, you are such a taking the piss in this group. #2292",harassment,Individual,medium,0.38,bad_words
"Only a crap will spam the group like you, Zvkoz. #78ac",harassment,Individual,high,0.73,bad_words
I think this chat is mentally draining thale noovu - just my opinion.,toxicity,individual,medium,0.5,codemix
"Yvulgcpbq, nee full time late bartiya dude. #35bd",insult,Individual,Low,0.32,kannada
"Smhsajau, ella platform nalli follow madbeda please, idu stalking tara kanstide. #1f82",cyberstalking,Individual,Medium,0.49,kannada
"Qmrxtapanh, you are such a fucking prick in this group. #b639",sexual_harassment,Individual,high,0.74,bad_words
"Look, stay out of my matters",aggression,appearance,medium,0.55,english
yavdru ivattu notes idre send maadu pls. #6593,neutral,Individual,Low,0.05,kannada
"To be honest, stop getting involved",aggression,individual,medium,0.55,english
"Onapjxudb, nee useless tara behave madthiya machaa. #88ba",insult,Individual,Medium,0.32,kannada
yaake nanna hinde bartiya right now.,harassment,individual,medium,0.45,codemix
nee send madida reel super comedy aaytu. #a32e,neutral,Unknown,Low,0.0,kannada
I just wanted to say why do you keep calling me !!!,harassment,individual,medium,0.45,english
"Look, go mind your work ... whatever.",aggression,appearance,medium,0.55,english
you are not invited to this immediately.,exclusion,individual,medium,0.42,english
"Look, why are you always in my dm ninige kelbeda (no offense).",harassment,individual,high,0.5,codemix
"In my opinion, there is too much negativity here ... whatever.",toxicity,individual,medium,0.5,codemix
"To be honest, dont cross the line nin limits alli iru",aggression,individual,medium,0.55,codemix
"Qlws, nee tumba disgusting behaviour machaa. #3afd",insult,Individual,High,0.41,kannada
"Rtmc, cheap comments madbeda ava bagge, group nalli idu sari alla. #54ba",sexual_harassment,Individual,High,0.75,kannada
"Hey, you are hopeless ... whatever.",insult,individual,medium,0.3,english
"Just so you know, dont start with me nin beka illa",aggression,individual,medium,0.55,codemix
"Listen, we dont need people like you (no offense).",hate,individual,low,0.7,english
"Look, shut up now",aggression,appearance,medium,0.55,english
"Wsmwtr, nee class nalli full time joker ne dude. #5430",insult,Individual,Medium,0.32,kannada
Why do you keep messaging me 😞,harassment,unknown,high,0.6,emoji
I just wanted to say you will suffer for this without a doubt.,threat,individual,medium,0.82,english
nee send madida reel super comedy aaytu. #34e8,neutral,Individual,Low,0.02,kannada
You keep tracking my activity 📸,stalking,academic,high,0.8,emoji
"Caqrbgkjnt, next time barbeku anta helthini, swalpa limit nodu yaar. #3c59",threat,Individual,High,0.87,kannada
I think this chat is mentally draining,toxicity,group,medium,0.5,english
nee send madida reel super comedy aaytu. #6382,neutral,Unknown,Low,0.0,kannada
"To be honest, bar bar kelbeda please ... whatever.",harassment,individual,medium,0.45,codemix
"Ivattu kooda haavu bro neenu tara act madtidya, Pusgjthf. #abe7",harassment,Individual,medium,0.6,bad_words
Did anyone finish the assignment? 👍,neutral,appearance,low,0.0,emoji
naale extra pen togond baa pls. #2f5e,neutral,Unknown,Low,0.03,kannada
"Rkmjugjom, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #1227",harassment,Individual,High,0.43,kannada
nee send madida reel super comedy aaytu. #05cc,neutral,Unknown,Low,0.0,kannada
"approach, stop monitoring what i do",stalking,personal,medium,0.62,english
"Luxnt, nin sexy bro maga nataka nodakke bore aaytu. #e9f1",sexual_harassment,Individual,high,0.8,bad_words
It's obvious that i will complain about you so please stop.,threat,individual,medium,0.82,english
stop monitoring what i do without a doubt.,stalking,individual,medium,0.62,english
"class grp, ivananna group inda remove maadona, ivan illaadre better ansta. #c054",exclusion,Group,Medium,0.45,kannada
"Listen, stop bothering me about this - just my opinion.",harassment,individual,medium,0.45,english
"Rutytxx, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #fa5b",harassment,Individual,Medium,0.51,kannada
"Lgqulem, nee full saayi tara behave madthiya. #28c4",threat,Individual,medium,0.47,bad_words
"Vnwpzpzcl, nodu careful iru, illa problem agutte, swalpa limit nodu yaar. #905d",threat,Individual,High,0.93,kannada
"Only a slut will spam the group like you, Dqsak. #33c1",sexual_harassment,Individual,medium,0.5,bad_words
"Only a pussy will spam the group like you, Fbcpulzhww. #8d39",sexual_harassment,Individual,high,0.57,bad_words
"behavior, you keep irritating me daily",harassment,personal,medium,0.45,english
"Wjpaqbyg, yaaru kuda ninna idiot thara nature ishta padalla. #ad06",insult,Individual,high,0.73,bad_words
"Mlvfy, nin not a loyal nataka nodakke bore aaytu. #10da",harassment,Individual,low,0.49,bad_words
"Yella dina sexy baby maga tara mathadbeda, Olii. #cd2e",sexual_harassment,Individual,medium,0.66,bad_words
"In my opinion, why are you always checking my status for real.",stalking,social,high,0.67,english
Your kind is not welcome here 🤡,hate,gender,high,0.85,emoji
Leave me alone already 😑,harassment,group,medium,0.5,emoji
"Cgmvbn, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #a170",harassment,Individual,Medium,0.54,kannada
"gang, ivananna group inda remove maadona, ivan illaadre better ansta. #b323",exclusion,Group,Medium,0.35,kannada
exam tumba tough aaytu but somehow aaytu. #2749,neutral,Unknown,Low,0.0,kannada
"Seriously, you are everywhere i go !!!",stalking,individual,high,0.67,english
"Stop it, you are acting childish period.",insult,individual,medium,0.3,english
ivattu assignment submit maadbeku maga. #824f,neutral,Individual,Low,0.03,kannada
you wont get away with this and it's sad.,threat,individual,medium,0.82,english
I just wanted to say nobody takes you seriously,insult,appearance,high,0.35,english
"Kzckgnywng, nee sakkat dumb idiya yaar dude. #4606",insult,Individual,Medium,0.39,kannada
"Look, you asked for it",threat,appearance,medium,0.82,english
"Seriously, i will report this to sir for real.",threat,teacher,high,0.87,english
"People are tired of your cock-socker attitude, Vnm. #1789",sexual_harassment,Individual,medium,0.7,bad_words
"Yella dina sade tara mathadbeda, Qnwwq. #41ec",insult,Individual,medium,0.37,bad_words
back off right now right now.,aggression,individual,medium,0.55,english
dont message me late night nin beka illa - just my opinion.,harassment,individual,medium,0.45,codemix
"To be honest, dont push me beyond my limit (no offense).",threat,individual,low,0.77,english
"Mdlabdccht, ava body bagge a tara mata beda, group nalli idu sari alla. #8ebf",sexual_harassment,Individual,Medium,0.77,kannada
"People are tired of your fuck you attitude, Ihimraurnb. #bde8",harassment,Individual,medium,0.67,bad_words
Wait and see what happens to you 😂,threat,group,high,0.95,emoji
"Ivattu kooda joker thara tara act madtidya, Wtz. #f06c",insult,Individual,low,0.4,bad_words
"Eupam, ava body bagge a tara mata beda, group nalli idu sari alla. #67fc",sexual_harassment,Individual,Medium,0.75,kannada
"Kisborofk, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #7844",threat,Individual,High,0.79,kannada
"Cguaprtsb, stop acting like a total bugger every day. #0f6c",insult,Individual,medium,0.59,bad_words
you are useless nin work sari illa,insult,individual,medium,0.3,codemix
ninige simple vishaya kuda artha agalla and it's sad.,insult,individual,medium,0.3,codemix
"People are tired of your bugger attitude, Rmbmaonb. #7e14",insult,Individual,low,0.67,bad_words
"Vybega, nee useless tara behave madthiya machaa. #88ef",insult,Individual,Medium,0.42,kannada
Nobody wants you here 😡,exclusion,teacher,medium,0.45,emoji
naale 4gante canteen nalli meet aagona. #d4c5,neutral,Individual,Low,0.0,kannada
"Honestly, stop forcing conversation without a doubt.",harassment,individual,medium,0.45,english
ivattu assignment submit maadbeku maga. #580f,neutral,Unknown,Low,0.0,kannada
"ninna presentation super aaytu, chennag ide. #3831",neutral,Unknown,Low,0.06,kannada
ninne function photos share maadu. #3d91,neutral,Group,Low,0.05,kannada
"Eonchnvr, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #38b0",harassment,Individual,Medium,0.69,kannada
"People are tired of your bugger attitude, Jpeexqp. #9261",insult,Individual,low,0.65,bad_words
pizza bekka biryani bekka decide maadi. #d513,neutral,Individual,Low,0.04,kannada
"In my opinion, why cant you just stop kelthiya ... whatever.",harassment,individual,medium,0.45,codemix
Leave this group now 😞,exclusion,gender,high,0.55,emoji
Everyone knows keep quiet please,aggression,individual,high,0.6,english
"Just so you know, this is such a dumb question for real.",insult,individual,medium,0.3,english
ivattu assignment submit maadbeku maga. #0157,neutral,Unknown,Low,0.0,kannada
yaake nanna profile daily nodthiya and it's sad.,stalking,individual,medium,0.62,codemix
ninne function photos share maadu. #8cbe,neutral,Unknown,Low,0.0,kannada
"Fma, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #b055",harassment,Individual,High,0.73,kannada
naale extra pen togond baa pls. #4d38,neutral,Group,Low,0.01,kannada
weekend ge yava movie nodona. #8053,neutral,Unknown,Low,0.0,kannada
"Group nalli a tara keiyanna baribeda, Pqxa. #0431",harassment,Individual,high,0.56,bad_words
"naale 9 gante lab ge bartira, late agbeda. #b0ae",neutral,Group,Low,0.0,kannada
"5 nimisha nalli join agthini, swalpa wait maadu. #8a70",neutral,Individual,Low,0.03,kannada
dont keep pinging nanna irritate madthiya ... whatever.,harassment,individual,medium,0.45,codemix
dont poke your nose,aggression,individual,medium,0.55,english
"Actually, we dont want you nin beka illa",exclusion,individual,medium,0.42,codemix
I just wanted to say nin iddare problem agthide period.,exclusion,individual,medium,0.42,codemix
your kind is not welcome here,hate,individual,medium,0.75,english
naale extra pen togond baa pls. #dec9,neutral,Individual,Low,0.0,kannada
"Hey, Is there any update on results ivattu",neutral,unknown,medium,0.02,codemix
"Rdlbd, ava body bagge a tara mata beda, group nalli idu sari alla. #9263",sexual_harassment,Individual,High,0.74,kannada
"This pussy behaviour is not okay, Mzndpy. #df06",sexual_harassment,Individual,medium,0.73,bad_words
"Ljdnoq, nin thotti maga nataka nodakke bore aaytu. #616f",insult,Individual,high,0.57,bad_words
"last seen, stop chasing me for replies",harassment,social,medium,0.45,english
"Biysjr, nee yavattu serious agalla machaa. #c7db",insult,Individual,Low,0.2,kannada
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #75ec",exclusion,Group,Low,0.47,kannada
why are you always behind me,stalking,individual,high,0.67,english
yaake nanna profile daily nodthiya right now.,stalking,individual,medium,0.62,codemix
"Look, we dont like people like you nin tara beda",hate,individual,medium,0.75,codemix
"Uzjl, nee reply nodoke tumba time togondiya dude. #e69d",insult,Individual,Low,0.15,kannada
"teacher, this group is not for you",exclusion,teacher,medium,0.42,english
"Seriously, i will expose what you did",threat,individual,high,0.87,english
"Group nalli a tara mangyan maga baribeda, Nopketsg. #35d7",insult,Individual,high,0.64,bad_words
"Hthrfpmck, nee class nalli full time joker ne re. #03c9",insult,Individual,Medium,0.31,kannada
nee send madida reel super comedy aaytu. #8887,neutral,Individual,Low,0.04,kannada
Let's work together on this.,neutral,unknown,medium,0.02,english
project help madidakke thanks maga. #2bff,neutral,Individual,Low,0.0,kannada
you are not invited nin beka illa right now.,exclusion,individual,medium,0.42,codemix
"Ghdzyl, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #8501",harassment,Individual,High,0.66,kannada
"Just so you know, you are everywhere i go nin follow madthiya (no offense).",stalking,individual,low,0.57,codemix
"People are tired of your dick attitude, Vnbyywtypo. #721d",sexual_harassment,Individual,medium,0.59,bad_words
pizza bekka biryani bekka decide maadi. #6447,neutral,Group,Low,0.04,kannada
exam tumba tough aaytu but somehow aaytu. #67fb,neutral,Individual,Low,0.0,kannada
"body, this group is full of drama",toxicity,group,medium,0.5,english
"review okay aaytu, tension beda. #d723",neutral,Individual,Low,0.0,kannada
project help madidakke thanks maga. #6790,neutral,Individual,Low,0.0,kannada
yavdru ivattu notes idre send maadu pls. #d8a7,neutral,Individual,Low,0.06,kannada
"profile, this chat is mentally draining",toxicity,teacher,medium,0.5,english
ninne function photos share maadu. #a3f9,neutral,Individual,Low,0.0,kannada
"Only a piss off will spam the group like you, Tajlj. #7926",harassment,Individual,medium,0.54,bad_words
naale extra pen togond baa pls. #a752,neutral,Unknown,Low,0.02,kannada
"Basically, this chat ruins my mood don't you think?",toxicity,individual,medium,0.5,codemix
"happy birthday, tumba olle varsha agli. #3839",neutral,Group,Low,0.03,kannada
we didnt include you on purpose for real.,exclusion,individual,medium,0.42,english
attendance link haakbidu illi. #4f98,neutral,Individual,Low,0.0,kannada
"Rxptbbheoy, nee full haavu bro neenu tara behave madthiya. #1740",harassment,Individual,medium,0.72,bad_words
"review okay aaytu, tension beda. #f1b9",neutral,Unknown,Low,0.04,kannada
pizza bekka biryani bekka decide maadi. #6054,neutral,Unknown,Low,0.0,kannada
Your kind is not welcome here 💢,hate,gender,high,0.85,emoji
"ninna presentation super aaytu, chennag ide. #d90e",neutral,Group,Low,0.03,kannada
"Wgvgs, elli hogidaroo ade tara madthiya, total loser tara idiya anta feel agutte. #da23",harassment,Individual,High,0.81,kannada
"Stop it, stay out ninige sambhandha illa and it's sad.",exclusion,individual,medium,0.42,codemix
Everyone here is awful ❌,toxicity,group,low,0.35,emoji
"Ogymlubpgr, nin shaata nataka nodakke bore aaytu. #c397",insult,Individual,high,0.46,bad_words
"Pxwt, nee tumba irritating agthiya re machaa. #b3ab",insult,Individual,Medium,0.32,kannada
You are really dumb 🧊,insult,group,medium,0.3,emoji
"habit, this environment is stressful",toxicity,gender,medium,0.5,english
Good morning everyone 😊,neutral,unknown,low,0.0,emoji
Get lost 😐,aggression,group,medium,0.6,emoji
"Saxdk, nee complete waste fellow yaar. #618f",insult,Individual,High,0.41,kannada
"happy birthday, tumba olle varsha agli. #156d",neutral,Group,Low,0.0,kannada
"Rvpshpjcm, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #7f9a",cyberstalking,Individual,Medium,0.69,kannada
nee send madida reel super comedy aaytu. #4a80,neutral,Individual,Low,0.0,kannada
I just wanted to say are you mad or what ninige artha illa (no offense).,insult,individual,low,0.25,codemix
"batch, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #1c5c",exclusion,Group,Medium,0.2,kannada
I just wanted to say use your brain swalpa immediately.,insult,individual,medium,0.3,codemix
"Hey, this doesnt concern you and it's annoying.",exclusion,individual,medium,0.42,english
"test, dont message me late night",harassment,academic,medium,0.45,english
pizza bekka biryani bekka decide maadi. #6bc4,neutral,Individual,Low,0.0,kannada
"Gzmblbpzvw, nee full time late bartiya yaar. #a999",insult,Individual,Low,0.15,kannada
"Ffrasljcp, nee full time late bartiya machaa. #915d",insult,Individual,Low,0.15,kannada
"Ninna joker thara behavior nodi everyone frustrate agta idare, Vesrrattfl. #e452",insult,Individual,medium,0.42,bad_words
"Vmj, nee tumba nim ammanakeya tara idiya maga. #1b3d",sexual_harassment,Individual,medium,0.61,bad_words
Why do you keep messaging me 🚨,harassment,unknown,high,0.6,emoji
you will face consequences for this - just my opinion.,threat,appearance,medium,0.82,english
yaake nanna follow madthiya everywhere immediately.,harassment,individual,medium,0.45,codemix
"gang, ivananna group inda remove maadona, ivan illaadre better ansta. #f80e",exclusion,Group,High,0.56,kannada
"Cxomsykag, yaaru kuda ninna idiot thara nature ishta padalla. #ce9d",insult,Individual,high,0.81,bad_words
"Listen, you are acting childish !!!",insult,individual,medium,0.3,english
no need for you nin beka illa !!!,exclusion,individual,medium,0.42,codemix
"To be honest, stop texting me every day",harassment,individual,medium,0.45,english
"Cfpbf, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #c375",harassment,Individual,Medium,0.39,kannada
"Ivattu kooda cry baby tara act madtidya, Wmcb. #7e4f",harassment,Individual,high,0.62,bad_words
I will report you to the admin 🦧,threat,unknown,high,0.95,emoji
ninne function photos share maadu. #67ad,neutral,Individual,Low,0.07,kannada
"To be honest, you wont get away with this so please stop.",threat,individual,medium,0.82,english
nee send madida reel super comedy aaytu. #2ced,neutral,Individual,Low,0.06,kannada
"Sfan, next time barbeku anta helthini, swalpa limit nodu yaar. #532c",threat,Individual,High,0.88,kannada
Your kind is not welcome here 🧊,hate,teacher,high,0.85,emoji
stop monitoring what i do and it's sad.,stalking,individual,medium,0.62,english
"naale 9 gante lab ge bartira, late agbeda. #bfce",neutral,Group,Low,0.0,kannada
"Hey, people like you make everything dirty - just my opinion.",hate,individual,medium,0.75,english
"naale 9 gante lab ge bartira, late agbeda. #536b",neutral,Unknown,Low,0.0,kannada
dont test my patience ... whatever.,threat,academic,medium,0.82,english
weekend ge yava movie nodona. #8934,neutral,Individual,Low,0.06,kannada
"Hey, this chat is mentally draining thale noovu",toxicity,individual,medium,0.5,codemix
"happy birthday, tumba olle varsha agli. #6df9",neutral,Individual,Low,0.0,kannada
"Hey, we dont want you nin beka illa immediately.",exclusion,individual,medium,0.42,codemix
"hair, we dont want you in this discussion",exclusion,appearance,medium,0.42,english
why are you always behind me and it's sad.,stalking,individual,high,0.67,english
"Actually, nin illade smooth agide period.",exclusion,individual,medium,0.42,codemix
"Eidiccs, yaaru kuda ninna joker thara nature ishta padalla. #1798",insult,Individual,medium,0.57,bad_words
"Yvihp, nee yavattu serious agalla dude. #922b",insult,Individual,Low,0.14,kannada
I will report you to the admin 😂,threat,group,high,0.95,emoji
"Listen, nin illade smooth agide ... whatever.",exclusion,individual,medium,0.42,codemix
"Only a bellend will spam the group like you, Cfculqxzp. #b849",insult,Individual,high,0.55,bad_words
"Group nalli a tara haavu bro neenu maga baribeda, Nlauufnc. #1346",harassment,Individual,medium,0.66,bad_words
this is only for selected people and everyone agrees.,exclusion,individual,high,0.47,english
"happy birthday, tumba olle varsha agli. #6ec3",neutral,Unknown,Low,0.07,kannada
"male students, people here are very problematic",toxicity,group,medium,0.5,english
You keep tracking my activity 💔,stalking,gender,high,0.8,emoji
"Xtv, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #e4fd",harassment,Individual,Low,0.57,kannada
I will report you to the admin 🛑,threat,teacher,high,0.95,emoji
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #ff9a",exclusion,Group,Medium,0.26,kannada
Shut up already ❄️,aggression,appearance,medium,0.6,emoji
ivattu class full bore aaytu. #a1f1,neutral,Unknown,Low,0.02,kannada
"Only a bugger will spam the group like you, Rvswjls. #816a",insult,Individual,medium,0.47,bad_words
"Group nalli ee not a loyal attitude beda, Yqm. #77c2",harassment,Individual,high,0.55,bad_words
"Mjrpb, nee tumba irritating agthiya re machaa. #7e83",insult,Individual,Medium,0.36,kannada
why are you always in my dm,harassment,individual,high,0.5,english
It's obvious that why do you follow everything i do ... whatever.,stalking,individual,medium,0.62,codemix
"Group nalli ee sucide attitude beda, Lxmowg. #b789",threat,Individual,medium,0.54,bad_words
nee send madida reel super comedy aaytu. #7774,neutral,Group,Low,0.0,kannada
"assignment, dont think this will go unnoticed",threat,gender,medium,0.82,english
"Honestly, this chat is very unhealthy",toxicity,individual,medium,0.5,codemix
"naale 9 gante lab ge bartira, late agbeda. #71cf",neutral,Group,Low,0.0,kannada
"Group nalli a tara not a loyal maga baribeda, Ifawa. #c731",harassment,Individual,medium,0.38,bad_words
"gang, ivnanna group nalli add madbeda, ivan illaadre better ansta. #aaf8",exclusion,Group,Medium,0.22,kannada
"gang, ivnanna group nalli add madbeda, ivan illaadre better ansta. #c01f",exclusion,Group,Low,0.24,kannada
Why do you keep messaging me 🦛,harassment,unknown,high,0.6,emoji
"class teacher, this space is not safe mentally",toxicity,teacher,medium,0.5,english
"Mjpsluceo, nee useless tara behave madthiya re. #b326",insult,Individual,Medium,0.19,kannada
"Bzfcmx, ivattu full kall maga mode nalli idiya. #bf58",insult,Individual,high,0.68,bad_words
"Look, stop stalking me - just my opinion.",stalking,appearance,medium,0.62,english
"People are tired of your sex attitude, Dqbeg. #4f8c",sexual_harassment,Individual,medium,0.62,bad_words
"guys, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #b202",exclusion,Group,Medium,0.47,kannada
this group makes me uncomfortable immediately.,toxicity,individual,medium,0.5,codemix
