anon_id,message,label,target_type,severity,severity_score,source
ANON_0341,"[USR], nanna jothe why mathadthiya, bekagilla.",exclusion,individual,medium,0.42,codemix
ANON_0342,exam tumba tough aaytu but somehow passed.,neutral,group,low,0.02,codemix
ANON_0343,"[USR], nee useless tara behave madthiya always.",insult,individual,medium,0.38,codemix
ANON_0344,"5 minutes nalli join agthini, swalpa wait maadu.",neutral,unknown,low,0.02,codemix
ANON_0345,"[USR], nanna friends jothe why matadthiya, creepy agide.",cyberstalking,individual,high,0.82,codemix
ANON_0346,"happy birthday bro, tumba olle varsha agli.",neutral,unknown,low,0.01,codemix
ANON_0347,"[USR], nee class nalli full time joker ne really.",insult,individual,medium,0.35,codemix
ANON_0348,"network very slow ide, once repeat maadu please.",neutral,unknown,low,0.02,codemix
ANON_0349,"[USR], nee complete waste fellow yaar seriously.",insult,individual,high,0.55,codemix
ANON_0350,"tomorrow 9 am lab ge bartira, late agbeda please.",neutral,group,low,0.02,codemix
ANON_0351,[USR] you are a complete [PROFANITY] moron seriously,insult,individual,high,0.82,bad_words
ANON_0352,Thanks for the notes bro really helpful.,neutral,individual,low,0.01,english
ANON_0353,[USR] I will definitely ruin your life,threat,individual,high,0.9,bad_words
ANON_0354,Good presentation today really impressive.,neutral,academic,low,0.02,english
ANON_0355,You are such [PROFANITY] trash honestly,insult,individual,high,0.78,bad_words
ANON_0356,Can we study together for the exam?,neutral,individual,low,0.01,english
ANON_0357,[USR] stop stalking my social media daily,cyberstalking,individual,high,0.85,bad_words
ANON_0358,Notes are uploaded in the drive guys.,neutral,academic,low,0.02,english
ANON_0359,Everyone hates your [PROFANITY] face honestly,hate,appearance,high,0.88,bad_words
ANON_0360,Meeting at 4 PM confirmed guys.,neutral,group,low,0.01,english
ANON_0361,"[USR], nee tumba irritating yaar re.",insult,individual,medium,0.35,kannada
ANON_0362,notes share maadidakke tumba thanks.,neutral,individual,low,0.02,kannada
ANON_0363,"[USR], nee hogi ninna kade bidu.",exclusion,individual,high,0.55,kannada
ANON_0364,assignment due date extend aaytu.,neutral,academic,low,0.02,kannada
ANON_0365,"[USR], nee full fake personality bro.",insult,individual,medium,0.42,kannada
ANON_0366,"sakkath presentation aaytu, super boss.",neutral,individual,low,0.01,kannada
ANON_0367,"[USR], nanna online status yaak check madthiya daily.",cyberstalking,individual,high,0.85,kannada
ANON_0368,exam hall number confirm maadi.,neutral,academic,low,0.02,kannada
ANON_0369,"[USR], nee tumba annoying behaviour yaar.",insult,individual,medium,0.35,kannada
ANON_0370,coffee break togoli banni guys.,neutral,group,low,0.01,kannada
ANON_0371,"[USR], ninna jothe yaaru iralla bekagilla.",exclusion,individual,high,0.52,kannada
ANON_0372,"naale sunday, yaavaga meet maadona.",neutral,group,low,0.02,kannada
ANON_0373,"[USR], principal kade complaint kodu hogthini.",threat,individual,high,0.88,kannada
ANON_0374,project extension sigthu relax maadi.,neutral,academic,low,0.02,kannada
ANON_0375,"[USR], nee full time fake smile haakthiya always.",insult,individual,medium,0.35,kannada
ANON_0376,oota maadona today good restaurant nalli.,neutral,group,low,0.01,kannada
ANON_0377,"[USR], nanna friends jothe matadod nillsu seriously.",harassment,individual,medium,0.55,kannada
ANON_0378,internship update share maadi.,neutral,individual,low,0.02,kannada
ANON_0379,"[USR], nee complete nonsense fellow seriously.",insult,individual,medium,0.45,kannada
ANON_0380,assignment template share maadi pls.,neutral,academic,low,0.02,kannada
ANON_0381,You're such a disappointment 😞,insult,individual,medium,0.5,emoji
ANON_0382,Project deadline extended 📅,neutral,academic,low,0.0,emoji
ANON_0383,I will expose you to everyone 📣,threat,individual,high,0.8,emoji
ANON_0384,You're the worst person ever 💩,insult,individual,high,0.75,emoji
ANON_0385,Good luck for tomorrow 🍀,neutral,individual,low,0.0,emoji
ANON_0386,Everyone laughs at you behind your back 😂,insult,individual,high,0.7,emoji
ANON_0387,Thanks for the study notes 📝,neutral,individual,low,0.0,emoji
ANON_0388,I'm tracking your location 📍,cyberstalking,individual,high,0.92,emoji
ANON_0389,You bring toxic energy everywhere 🧪,toxicity,individual,medium,0.55,emoji
ANON_0390,Team lunch tomorrow 🍕,neutral,group,low,0.0,emoji
ANON_0391,[USR] I'll spread your private photos,threat,individual,high,0.95,bad_words
ANON_0392,Class notes are ready to share.,neutral,academic,low,0.02,english
ANON_0393,You are such a [PROFANITY] embarrassment,insult,individual,high,0.8,bad_words
ANON_0394,Study material uploaded in folder.,neutral,academic,low,0.01,english
ANON_0395,[USR] you disgust everyone around you,hate,individual,high,0.85,bad_words
ANON_0396,Exam schedule released check it.,neutral,academic,low,0.02,english
ANON_0397,[USR] stop messaging me [PROFANITY],harassment,individual,high,0.72,bad_words
ANON_0398,Lab timing changed to 2 PM.,neutral,academic,low,0.02,english
ANON_0399,[USR] your whole existence is a joke,insult,individual,high,0.78,bad_words
ANON_0400,Project team meeting at 5.,neutral,group,low,0.01,english
ANON_0401,"[USR], nanna location yaak track madthiya daily.",cyberstalking,individual,high,0.92,kannada
ANON_0402,exam preparation howdu everyone?,neutral,individual,low,0.01,kannada
ANON_0403,"[USR], ninna jothe yaaru friendship bekagilla seriously.",exclusion,individual,high,0.58,kannada
ANON_0404,"fest registration link haakbidu, very urgent.",neutral,group,low,0.02,kannada
ANON_0405,"[USR], nee tumba cheap behaviour showing.",insult,individual,high,0.55,kannada
ANON_0406,next class yaavaga start aguthe?,neutral,academic,low,0.02,kannada
ANON_0407,"[USR], nanna life alli interfere madbeda seriously.",harassment,individual,medium,0.58,kannada
ANON_0408,library open time yaavaga?,neutral,academic,low,0.02,kannada
ANON_0409,"[USR], nee tumba irritating agthiya re seriously.",insult,individual,medium,0.35,kannada
ANON_0410,canteen food sakkath aaytu today.,neutral,group,low,0.01,kannada
ANON_0411,"[USR], [AUTHORITY] ge complaint kodu hogthini watch.",threat,individual,high,0.88,kannada
ANON_0412,sports day practice ge banni.,neutral,group,low,0.02,kannada
ANON_0413,"[USR], nee full time drama madthiya always.",insult,individual,medium,0.38,kannada
ANON_0414,project partner yaaru antha decide maadi.,neutral,academic,low,0.02,kannada
ANON_0415,"[USR], nanna status yaak check madthiya always.",cyberstalking,individual,high,0.85,kannada
ANON_0416,exam center details share maadi.,neutral,academic,low,0.02,kannada
ANON_0417,"[USR], nee tumba fake person yaar.",insult,individual,medium,0.45,kannada
ANON_0418,movie plan ge yaaru barthira?,neutral,group,low,0.01,kannada
ANON_0419,"[USR], ninna jothe yaaru hang out bekagilla.",exclusion,individual,high,0.55,kannada
ANON_0420,lab attendance mark aaytha check maadi.,neutral,academic,low,0.02,kannada
ANON_0421,You make me sick 🤢,hate,individual,high,0.75,emoji
ANON_0422,Congrats on the results 🎉,neutral,individual,low,0.0,emoji
ANON_0423,I know where you stay 🏠,threat,individual,high,0.9,emoji
ANON_0424,You're embarrassing yourself 😳,insult,individual,medium,0.45,emoji
ANON_0425,Group study tonight 🌙,neutral,group,low,0.0,emoji
ANON_0426,You're completely useless 🗑️,insult,individual,high,0.7,emoji
ANON_0427,Thanks for the feedback 💬,neutral,individual,low,0.0,emoji
ANON_0428,I'll find out everything about you 🔍,cyberstalking,individual,high,0.85,emoji
ANON_0429,You ruin every group you join ❌,toxicity,group,high,0.75,emoji
ANON_0430,Quiz postponed to next week 📆,neutral,academic,low,0.0,emoji
ANON_0431,[USR] you're nothing but [PROFANITY] garbage,insult,individual,high,0.85,bad_words
ANON_0432,Library closes at 8 PM today.,neutral,academic,low,0.02,english
ANON_0433,[USR] I'll destroy everything you care about,threat,individual,high,0.92,bad_words
ANON_0434,Assignment template is in shared folder.,neutral,academic,low,0.01,english
ANON_0435,[USR] you make everyone uncomfortable,hate,individual,high,0.78,bad_words
ANON_0436,Seminar timings announced check it.,neutral,academic,low,0.02,english
ANON_0437,[USR] [PROFANITY] off and leave,harassment,individual,high,0.8,bad_words
ANON_0438,Guest lecture at 3 PM confirmed.,neutral,academic,low,0.02,english
ANON_0439,[USR] your presence is [PROFANITY] toxic,toxicity,individual,high,0.82,bad_words
ANON_0440,Internship forms available in office.,neutral,academic,low,0.01,english
ANON_0441,"[USR], nee group nalli bekagilla seriously.",exclusion,group,high,0.58,kannada
ANON_0442,placement training ge register maadi.,neutral,academic,low,0.02,kannada
ANON_0443,"[USR], nee tumba toxic person yaar.",toxicity,individual,high,0.65,kannada
ANON_0444,cultural fest registration open aaytu.,neutral,group,low,0.02,kannada
ANON_0445,"[USR], nanna messages yaak forward madthiya.",harassment,individual,medium,0.55,kannada
ANON_0446,syllabus completion update beku.,neutral,academic,low,0.02,kannada
ANON_0447,"[USR], nee tumba jealous type yaar.",insult,individual,medium,0.42,kannada
ANON_0448,workshop registration link share maadi.,neutral,group,low,0.01,kannada
ANON_0449,"[USR], ninna jothe project bekagilla.",exclusion,academic,high,0.52,kannada
ANON_0450,mock test schedule release aaytu.,neutral,academic,low,0.02,kannada
ANON_0451,"[USR], nee tumba desperate tara idiya.",insult,individual,medium,0.45,kannada
ANON_0452,viva preparation ge notes share maadi.,neutral,academic,low,0.02,kannada
ANON_0453,"[USR], nanna personal life alli interfere madbeda.",harassment,individual,medium,0.58,kannada
ANON_0454,farewell party planning start maadona.,neutral,group,low,0.01,kannada
ANON_0455,"[USR], nee tumba creepy behave madthiya.",insult,individual,high,0.62,kannada
ANON_0456,alumni meet ge register aagbeku.,neutral,group,low,0.02,kannada
ANON_0457,"[USR], yaaru kuda ninna ishta padalla.",hate,individual,high,0.75,kannada
ANON_0458,guest lecture notes share maadi.,neutral,academic,low,0.02,kannada
ANON_0459,"[USR], nee tumba attention seeker yaar.",insult,individual,medium,0.45,kannada
ANON_0460,annual day practice ge banni.,neutral,group,low,0.01,kannada
ANON_0461,You're invisible to everyone 👻,exclusion,individual,high,0.72,emoji
ANON_0462,Extra class confirmed tomorrow 📖,neutral,academic,low,0.0,emoji
ANON_0463,I'll cyberbully you daily 📱,harassment,individual,high,0.9,emoji
ANON_0464,You're mentally unstable 🤪,insult,individual,high,0.8,emoji
ANON_0465,Submission deadline today ⚠️,neutral,academic,low,0.0,emoji
ANON_0466,Nobody will ever like you 💔,exclusion,individual,high,0.78,emoji
ANON_0467,Best wishes for the interview 🤞,neutral,individual,low,0.0,emoji
ANON_0468,I screenshot all your posts 📸,cyberstalking,individual,high,0.82,emoji
ANON_0469,You're a waste of everyone's time ⌛,insult,individual,high,0.72,emoji
ANON_0470,Practical exam schedule out 🔬,neutral,academic,low,0.0,emoji
ANON_0471,[USR] I have all your personal info,threat,individual,high,0.88,bad_words
ANON_0472,Bus timing changed for tomorrow.,neutral,unknown,low,0.02,english
ANON_0473,[USR] you're a [PROFANITY] disappointment to all,insult,individual,high,0.82,bad_words
ANON_0474,College fest on Saturday confirmed.,neutral,group,low,0.01,english
ANON_0475,[USR] people are laughing at you behind,insult,individual,high,0.7,bad_words
ANON_0476,Form submission last date tomorrow.,neutral,academic,low,0.02,english
ANON_0477,[USR] you deserve all the hate you get,hate,individual,high,0.85,bad_words
ANON_0478,ID card collection from office.,neutral,unknown,low,0.02,english
ANON_0479,[USR] I'll make sure you regret this,threat,individual,high,0.88,bad_words
ANON_0480,Certificate distribution on Monday.,neutral,academic,low,0.01,english
ANON_0481,"[USR], nee tumba backdated mentality yaar.",insult,individual,medium,0.48,kannada
ANON_0482,hostel fee deadline extend aaytu.,neutral,academic,low,0.02,kannada
ANON_0483,"[USR], nee group alli unwanted yaar.",exclusion,group,high,0.58,kannada
ANON_0484,sports day events list share maadi.,neutral,group,low,0.02,kannada
ANON_0485,"[USR], nanna reputation damage madthiya.",threat,individual,high,0.78,kannada
ANON_0486,blood donation camp tomorrow.,neutral,group,low,0.01,kannada
ANON_0487,"[USR], nee tumba fake friend yaar.",insult,individual,medium,0.45,kannada
ANON_0488,NSS camp registration open aaytu.,neutral,group,low,0.02,kannada
ANON_0489,"[USR], yaavaga nodidru nanna stalk madthiya.",cyberstalking,individual,high,0.88,kannada
ANON_0490,tech fest schedule release aaytu.,neutral,group,low,0.02,kannada
ANON_0491,"[USR], nee tumba problematic person yaar.",insult,individual,medium,0.52,kannada
ANON_0492,debate competition registration open.,neutral,academic,low,0.01,kannada
ANON_0493,"[USR], ninna presence bekagilla here.",exclusion,individual,high,0.55,kannada
ANON_0494,quiz competition results announced.,neutral,academic,low,0.02,kannada
ANON_0495,"[USR], nee tumba negative energy spread madthiya.",toxicity,individual,high,0.68,kannada
ANON_0496,farewell date finalize aaytu.,neutral,group,low,0.02,kannada
ANON_0497,"[USR], ninna jothe matadodu bekagilla anymore.",exclusion,individual,high,0.52,kannada
ANON_0498,graduation day dress code decide maadi.,neutral,group,low,0.01,kannada
ANON_0499,"[USR], nee tumba manipulative yaar seriously.",insult,individual,high,0.58,kannada
ANON_0500,convocation ceremony date confirmed.,neutral,group,low,0.02,kannada
