message,label,target_type,severity_score,severity_level,context
"Only a two head snake will spam the group like you, Hgzkl. #7b95",Insult,Individual,0.65,medium,whatsapp_group_chat
"People are tired of your bloddy hell attitude, Vhqvxhb. #875e",Harassment,Individual,0.34,low,whatsapp_group_chat
"Only a son of bitch will spam the group like you, Dvbrwpzxcu. #1645",Insult,Individual,0.75,high,whatsapp_group_chat
"Only a go to hell will spam the group like you, Iejj. #a377",Harassment,Individual,0.48,low,whatsapp_group_chat
"Ietgsnl, you are such a dick in this group. #a2b4",Sexual Harassment,Individual,0.59,high,whatsapp_group_chat
"People are tired of your naked attitude, Cfljv. #03fd",Sexual Harassment,Individual,0.4,medium,whatsapp_group_chat
"Ivattu kooda sexy baby tara act madtidya, Xgsccdl. #eb46",Sexual Harassment,Individual,0.77,high,whatsapp_group_chat
"Only a crap will spam the group like you, Ikmohia. #477e",Harassment,Individual,0.67,medium,whatsapp_group_chat
"This two head snake behaviour is not okay, Uadvz. #9b5c",Insult,Individual,0.54,high,whatsapp_group_chat
"Mpmq, yaaru kuda ninna sexy baby nature ishta padalla. #6070",Sexual Harassment,Individual,0.5,low,whatsapp_group_chat
"Xsfwgnq, nee full idiot thara tara behave madthiya. #fe39",Insult,Individual,0.56,high,whatsapp_group_chat
"Zlsd, yaaru kuda ninna sucide nature ishta padalla. #eb6d",Threat,Individual,0.66,medium,whatsapp_group_chat
"Guv, stop acting like a total bloody hell every day. #526b",Harassment,Individual,0.53,medium,whatsapp_group_chat
"Group nalli a tara dagar baribeda, Ueaah. #8784",Insult,Individual,0.48,high,whatsapp_group_chat
"Ald, yaaru kuda ninna monkey thara nature ishta padalla. #5f89",Insult,Individual,0.7,high,whatsapp_group_chat
"Ivosxpz, nee full cry baby tara behave madthiya. #b960",Harassment,Individual,0.64,medium,whatsapp_group_chat
"Nui, nin nim amman nataka nodakke bore aaytu. #c520",Harassment,Individual,0.42,low,whatsapp_group_chat
"People are tired of your transgender attitude, Woboaoiuqe. #f2d7",Insult,Individual,0.51,medium,whatsapp_group_chat
"Yella dina die maga tara mathadbeda, Vhoikltrwo. #3ac2",Threat,Individual,0.57,high,whatsapp_group_chat
"Ivattu kooda monkey thara tara act madtidya, Slcieebtqs. #d4c4",Insult,Individual,0.35,medium,whatsapp_group_chat
"Group nalli a tara sakath body maga baribeda, Psbgakswrw. #2e19",Harassment,Individual,0.63,high,whatsapp_group_chat
"Zuvnox, nee tumba sakath body tara idiya maga. #f472",Harassment,Individual,0.6,low,whatsapp_group_chat
"Mhokzuao, nee full dove rani tara behave madthiya. #59cc",Harassment,Individual,0.56,medium,whatsapp_group_chat
"Group nalli ee sucide attitude beda, Adyvuscidi. #83e1",Threat,Individual,0.64,medium,whatsapp_group_chat
"Only a suck his dick will spam the group like you, Tsasxgad. #525e",Sexual Harassment,Individual,0.7,low,whatsapp_group_chat
"Ivattu kooda joker thara tara act madtidya, Pxuxbd. #a814",Insult,Individual,0.62,medium,whatsapp_group_chat
"Sbbjj, ivattu full thullu keya mode nalli idiya. #8fc2",Sexual Harassment,Individual,0.54,high,whatsapp_group_chat
"Group nalli ee dove rani attitude beda, Ldlidihshx. #f610",Harassment,Individual,0.74,medium,whatsapp_group_chat
"Gzy, yaaru kuda ninna cry baby nature ishta padalla. #e570",Harassment,Individual,0.66,high,whatsapp_group_chat
"Group nalli a tara kembatti maga baribeda, Ncf. #2917",Insult,Individual,0.44,medium,whatsapp_group_chat
"Only a bellend will spam the group like you, Cfculqxzp. #b849",Insult,Individual,0.55,high,whatsapp_group_chat
"Group nalli a tara hucchadana baribeda, Yydswgmzq. #5bcf",Insult,Individual,0.59,medium,whatsapp_group_chat
"Vivbx, you are such a go to hell in this group. #7eae",Harassment,Individual,0.48,high,whatsapp_group_chat
"Bgmpjla, nee tumba dagarina tara idiya maga. #b95f",Insult,Individual,0.36,medium,whatsapp_group_chat
"People are tired of your sexy attitude, Hjh. #7105",Sexual Harassment,Individual,0.68,medium,whatsapp_group_chat
"Scrmkcq, you are such a bugger in this group. #0cea",Insult,Individual,0.59,medium,whatsapp_group_chat
"Nvitlhf, you are such a gay in this group. #2adf",Insult,Individual,0.61,medium,whatsapp_group_chat
"This stupid behaviour is not okay, Pfifc. #5df5",Insult,Individual,0.65,medium,whatsapp_group_chat
"Group nalli ee cry baby attitude beda, Hndrxqhn. #74cd",Harassment,Individual,0.64,low,whatsapp_group_chat
"Pvkqwtyml, you are such a lesbian in this group. #08f6",Insult,Individual,0.7,medium,whatsapp_group_chat
"Group nalli ee sexy bro attitude beda, Ddskusafz. #89d9",Sexual Harassment,Individual,0.54,high,whatsapp_group_chat
"Ivattu kooda idiot thara tara act madtidya, Fjulaegqz. #e0f0",Insult,Individual,0.66,medium,whatsapp_group_chat
"Only a bugger will spam the group like you, Rvswjls. #816a",Insult,Individual,0.47,medium,whatsapp_group_chat
"Hafk, yaaru kuda ninna cry baby nature ishta padalla. #1646",Harassment,Individual,0.37,medium,whatsapp_group_chat
"Only a asswipe will spam the group like you, Wghrruimz. #5042",Insult,Individual,0.82,high,whatsapp_group_chat
"This twat behaviour is not okay, Hhxnxrr. #6920",Sexual Harassment,Individual,0.53,low,whatsapp_group_chat
"Only a go to hell will spam the group like you, Vjn. #74c6",Harassment,Individual,0.69,medium,whatsapp_group_chat
"People are tired of your cock-socker attitude, Xkdlhidxn. #f52c",Sexual Harassment,Individual,0.67,medium,whatsapp_group_chat
"Ivattu kooda monkey thara tara act madtidya, Wtvp. #94d7",Insult,Individual,0.49,high,whatsapp_group_chat
"Group nalli ee haavu bro neenu attitude beda, Wpzbpkkwh. #7e32",Harassment,Individual,0.48,medium,whatsapp_group_chat
"This nigger behaviour is not okay, Qhhjuvetkg. #3b7c",Harassment,Individual,0.5,low,whatsapp_group_chat
"This damn behaviour is not okay, Nofohi. #33b4",Insult,Individual,0.55,medium,whatsapp_group_chat
"Uatggddd, nee full saayi tara behave madthiya. #7801",Threat,Individual,0.4,low,whatsapp_group_chat
"Qjpouqjz, nee full haavu bro neenu tara behave madthiya. #da0c",Harassment,Individual,0.7,medium,whatsapp_group_chat
"Suvga, nee full not a loyal tara behave madthiya. #2ac5",Harassment,Individual,0.42,high,whatsapp_group_chat
"Group nalli a tara le niga maga baribeda, Mcfckx. #6e07",Harassment,Individual,0.7,medium,whatsapp_group_chat
"Pognbqjv, nin sooley maga nataka nodakke bore aaytu. #be47",Insult,Individual,0.38,medium,whatsapp_group_chat
"Group nalli ee sexy bro attitude beda, Qyrd. #05b9",Sexual Harassment,Individual,0.56,medium,whatsapp_group_chat
"Ivattu kooda cry baby tara act madtidya, Ojcvmjg. #bf50",Harassment,Individual,0.66,high,whatsapp_group_chat
"Ivattu kooda monkey thara tara act madtidya, Ctzhzrkjv. #52e3",Insult,Individual,0.67,medium,whatsapp_group_chat
"Xurykq, you are such a twat face in this group. #fd4a",Insult,Individual,0.59,low,whatsapp_group_chat
"Tzqdt, yaaru kuda ninna fake character nature ishta padalla. #57a7",Harassment,Individual,0.42,low,whatsapp_group_chat
"Dtgcwtp, stop acting like a total asexual every day. #87eb",Sexual Harassment,Individual,0.63,high,whatsapp_group_chat
"Rbsxbuyd, stop acting like a total bugger every day. #ed82",Insult,Individual,0.53,high,whatsapp_group_chat
"Eazv, nee full idiot thara tara behave madthiya. #5c97",Insult,Individual,0.52,high,whatsapp_group_chat
"Ivattu kooda not a loyal tara act madtidya, Cuatzdhbbu. #e27b",Harassment,Individual,0.47,low,whatsapp_group_chat
"Nckzmkym, nee full cry baby tara behave madthiya. #f5d4",Harassment,Individual,0.68,high,whatsapp_group_chat
"Group nalli a tara sucide mad baribeda, Yvgpmtmkuc. #535e",Threat,Individual,0.61,high,whatsapp_group_chat
"Leyhxlua, you are such a bellend in this group. #b873",Insult,Individual,0.69,high,whatsapp_group_chat
"Group nalli ee monkey thara attitude beda, Zzti. #c443",Insult,Individual,0.75,high,whatsapp_group_chat
"This arse behaviour is not okay, Nfem. #61e9",Harassment,Individual,0.79,high,whatsapp_group_chat
"Xfkmlrifr, ivattu full dagarina maga mode nalli idiya. #a8e3",Insult,Individual,0.57,medium,whatsapp_group_chat
"Ivattu kooda sakath body tara act madtidya, Euusan. #7de7",Harassment,Individual,0.4,high,whatsapp_group_chat
"Group nalli a tara mangyan maga baribeda, Nopketsg. #35d7",Insult,Individual,0.64,high,whatsapp_group_chat
"Rvwlopy, stop acting like a total go to hell every day. #6663",Harassment,Individual,0.51,low,whatsapp_group_chat
"Group nalli a tara ninna ammanakeya baribeda, Hsdlobtha. #3aa7",Sexual Harassment,Individual,0.73,high,whatsapp_group_chat
"Ivattu kooda saayi tara act madtidya, Tkuinbh. #b85c",Threat,Individual,0.37,medium,whatsapp_group_chat
"People are tired of your cunt attitude, Aumpgu. #c694",Sexual Harassment,Individual,0.7,medium,whatsapp_group_chat
"Gekv, stop acting like a total choad every day. #0467",Insult,Individual,0.55,medium,whatsapp_group_chat
"Oai, nee full dove rani tara behave madthiya. #e7f6",Harassment,Individual,0.48,low,whatsapp_group_chat
"Qyuzexqwn, nee tumba kall nan magane tara idiya maga. #8278",Insult,Individual,0.49,low,whatsapp_group_chat
"Fzv, stop acting like a total shag every day. #9c03",Sexual Harassment,Individual,0.48,medium,whatsapp_group_chat
"Gzdp, stop acting like a total sexy every day. #d391",Sexual Harassment,Individual,0.55,medium,whatsapp_group_chat
"This hell behaviour is not okay, Kpjrlaygtw. #6e61",Harassment,Individual,0.44,medium,whatsapp_group_chat
"Hubnj, yaaru kuda ninna joker thara nature ishta padalla. #7e77",Insult,Individual,0.59,high,whatsapp_group_chat
"Iguyishyka, yaaru kuda ninna die nature ishta padalla. #af00",Threat,Individual,0.61,high,whatsapp_group_chat
"This bugger behaviour is not okay, Vtwuup. #968b",Insult,Individual,0.42,medium,whatsapp_group_chat
"Yella dina nimmavvana tara mathadbeda, Npfrduds. #c8f6",Harassment,Individual,0.57,low,whatsapp_group_chat
"Xhr, stop acting like a total twat face every day. #c32c",Insult,Individual,0.5,medium,whatsapp_group_chat
"Ivattu kooda sexy baby tara act madtidya, Mlipozttq. #319a",Sexual Harassment,Individual,0.7,medium,whatsapp_group_chat
"This bastard behaviour is not okay, Nzbvslzllg. #2ba0",Insult,Individual,0.39,low,whatsapp_group_chat
"Group nalli a tara ninna thale kettide baribeda, Mrvg. #6b09",Harassment,Individual,0.39,medium,whatsapp_group_chat
"Only a bugger will spam the group like you, Dku. #bed0",Insult,Individual,0.55,high,whatsapp_group_chat
"Yella dina bosodi tara mathadbeda, Seyi. #19d5",Harassment,Individual,0.74,medium,whatsapp_group_chat
"Yoy, yaaru kuda ninna sakath body nature ishta padalla. #58bf",Harassment,Individual,0.62,high,whatsapp_group_chat
"Stbciqhaoo, nin thotti nataka nodakke bore aaytu. #f018",Insult,Individual,0.71,high,whatsapp_group_chat
"Tpfksuy, ivattu full soolya maga mode nalli idiya. #646e",Harassment,Individual,0.51,medium,whatsapp_group_chat
"Ydfnnuid, nin kallu nataka nodakke bore aaytu. #8719",Insult,Individual,0.46,high,whatsapp_group_chat
"Yella dina cry baby tara mathadbeda, Awwfmoz. #0955",Harassment,Individual,0.37,medium,whatsapp_group_chat
"Jndxigw, stop acting like a total nigger every day. #41d8",Harassment,Individual,0.42,medium,whatsapp_group_chat
"Group nalli ee sucide attitude beda, Fzuickr. #7537",Threat,Individual,0.62,high,whatsapp_group_chat
"Kokrnvdm, nee full idiot thara tara behave madthiya. #69a6",Sexual Harassment,Individual,0.54,medium,whatsapp_group_chat
"Group nalli a tara fake character baribeda, Qtmfnctusg. #5023",Harassment,Individual,0.53,low,whatsapp_group_chat
"Group nalli ee dove rani attitude beda, Juvpskuvx. #a2dd",Harassment,Individual,0.5,high,whatsapp_group_chat
"Jzbzgh, nin nimm avvan nataka nodakke bore aaytu. #6afa",Harassment,Individual,0.6,medium,whatsapp_group_chat
"Zuizxxgkbe, ivattu full not a loyal maga mode nalli idiya. #8a3b",Harassment,Individual,0.67,medium,whatsapp_group_chat
"Yella dina joker thara tara mathadbeda, Ihtk. #21f3",Insult,Individual,0.44,low,whatsapp_group_chat
"Jjl, stop acting like a total go to hell every day. #0c04",Harassment,Individual,0.42,medium,whatsapp_group_chat
"Group nalli a tara ninna amma baribeda, Bzamfgxmj. #700b",Harassment,Individual,0.53,high,whatsapp_group_chat
"Group nalli ee sucide attitude beda, Lxmowg. #b789",Threat,Individual,0.54,medium,whatsapp_group_chat
"Jfw, you are such a naked in this group. #ad5b",Sexual Harassment,Individual,0.48,low,whatsapp_group_chat
"Ninna joker thara behavior nodi everyone frustrate agta idare, Wlcmwioftp. #627f",Insult,Individual,0.47,medium,whatsapp_group_chat
"Vxmscvetqg, ivattu full ninna ammanakeya mode nalli idiya. #5ebd",Sexual Harassment,Individual,0.57,high,whatsapp_group_chat
"Yella dina nimavvan tara mathadbeda, Cawa. #b555",Harassment,Individual,0.51,medium,whatsapp_group_chat
"Cogpd, you are such a go to hell in this group. #084e",Harassment,Individual,0.49,low,whatsapp_group_chat
"Yella dina sexy bro maga tara mathadbeda, Xntgvpboam. #1c48",Sexual Harassment,Individual,0.51,high,whatsapp_group_chat
"Kqy, yaaru kuda ninna die nature ishta padalla. #c592",Threat,Individual,0.46,medium,whatsapp_group_chat
"Group nalli ee haavu bro neenu attitude beda, Aqngt. #77e0",Harassment,Individual,0.65,high,whatsapp_group_chat
"Yella dina sexy bro maga tara mathadbeda, Moat. #456b",Sexual Harassment,Individual,0.84,high,whatsapp_group_chat
"Group nalli ee sakath body attitude beda, Uigfzj. #8093",Harassment,Individual,0.43,medium,whatsapp_group_chat
"Ivattu kooda saayi tara act madtidya, Etxmr. #58d5",Threat,Individual,0.75,high,whatsapp_group_chat
"Bmdteicimu, nee tumba sucide madthiya maga tara idiya maga. #1743",Threat,Individual,0.59,high,whatsapp_group_chat
"Ninna sucide behavior nodi everyone frustrate agta idare, Xgbtmwdtzd. #710f",Threat,Individual,0.66,medium,whatsapp_group_chat
"Ninna sexy baby behavior nodi everyone frustrate agta idare, Zjcvvgk. #14ac",Sexual Harassment,Individual,0.41,low,whatsapp_group_chat
"Igpqcunm, you are such a jerk in this group. #671c",Insult,Individual,0.77,high,whatsapp_group_chat
"Uxtdg, yaaru kuda ninna cry baby nature ishta padalla. #3345",Harassment,Individual,0.55,low,whatsapp_group_chat
"Ninna joker thara behavior nodi everyone frustrate agta idare, Xcnzyzc. #29de",Insult,Individual,0.51,medium,whatsapp_group_chat
"Xwqqe, nee tumba sade tara idiya maga. #296b",Insult,Individual,0.44,high,whatsapp_group_chat
"Ivattu kooda fake character tara act madtidya, Gxwnohjjt. #e9b9",Harassment,Individual,0.59,medium,whatsapp_group_chat
"Cuxj, ivattu full ninna hendruna keya maga mode nalli idiya. #fd52",Sexual Harassment,Individual,0.54,medium,whatsapp_group_chat
"Gprxxxczn, you are such a fuck you in this group. #8068",Harassment,Individual,0.36,medium,whatsapp_group_chat
"Only a dick will spam the group like you, Hfqcp. #b3a4",Sexual Harassment,Individual,0.67,medium,whatsapp_group_chat
"Fgbuhru, stop acting like a total 69 every day. #c8e3",Sexual Harassment,Individual,0.45,low,whatsapp_group_chat
"Only a shag will spam the group like you, Fltv. #a8c6",Sexual Harassment,Individual,0.73,high,whatsapp_group_chat
"Ninna fake character behavior nodi everyone frustrate agta idare, Vcjlqtehum. #26d6",Harassment,Individual,0.39,medium,whatsapp_group_chat
"Only a ass will spam the group like you, Ziwc. #4342",Harassment,Individual,0.77,high,whatsapp_group_chat
"Qjiihmyk, nee full monkey thara tara behave madthiya. #10ee",Insult,Individual,0.69,medium,whatsapp_group_chat
"This fucking prick behaviour is not okay, Jcltdahjzk. #6661",Sexual Harassment,Individual,0.42,medium,whatsapp_group_chat
"Eey, ivattu full dagar mode nalli idiya. #2f7e",Insult,Individual,0.48,high,whatsapp_group_chat
"Bptpw, nee tumba nin tullna keya tara idiya maga. #18b6",Sexual Harassment,Individual,0.55,medium,whatsapp_group_chat
"Ufswer, yaaru kuda ninna haavu bro neenu nature ishta padalla. #c993",Harassment,Individual,0.5,medium,whatsapp_group_chat
"This bugger behaviour is not okay, Urithapqo. #dfe7",Insult,Individual,0.6,high,whatsapp_group_chat
"Crixfaf, nin darbesi nataka nodakke bore aaytu. #0c00",Insult,Individual,0.67,high,whatsapp_group_chat
"Vgfdvazg, you are such a cockfoam in this group. #3c1c",Sexual Harassment,Individual,0.35,medium,whatsapp_group_chat
"Ivattu kooda not a loyal tara act madtidya, Jlca. #8893",Harassment,Individual,0.46,medium,whatsapp_group_chat
"Hlbzmicni, ivattu full sexy baby maga mode nalli idiya. #ed91",Sexual Harassment,Individual,0.59,low,whatsapp_group_chat
"Ninna sakath body behavior nodi everyone frustrate agta idare, Fcmc. #d81d",Harassment,Individual,0.71,high,whatsapp_group_chat
"Jan, ivattu full dagarina mode nalli idiya. #9db0",Insult,Individual,0.69,medium,whatsapp_group_chat
"People are tired of your fuck you attitude, Ihimraurnb. #bde8",Harassment,Individual,0.67,medium,whatsapp_group_chat
"Wchbexnj, ivattu full bosodina mode nalli idiya. #6afb",Harassment,Individual,0.52,medium,whatsapp_group_chat
"This bloddy hell behaviour is not okay, Snj. #e2ae",Harassment,Individual,0.68,medium,whatsapp_group_chat
"This dog behaviour is not okay, Fpkzmhbkbu. #23ff",Insult,Individual,0.62,medium,whatsapp_group_chat
"People are tired of your split tongue attitude, Wokec. #5ac1",Insult,Individual,0.48,medium,whatsapp_group_chat
"This bozo behaviour is not okay, Kwyvwpmls. #af00",Insult,Individual,0.39,low,whatsapp_group_chat
"People are tired of your dick attitude, Ourw. #bc50",Sexual Harassment,Individual,0.65,high,whatsapp_group_chat
"Wfmo, yaaru kuda ninna monkey thara nature ishta padalla. #fdf9",Insult,Individual,0.72,medium,whatsapp_group_chat
"Ninna sucide behavior nodi everyone frustrate agta idare, Wwraugcp. #354d",Threat,Individual,0.61,low,whatsapp_group_chat
"Mrjcywpk, yaaru kuda ninna sexy baby nature ishta padalla. #1456",Sexual Harassment,Individual,0.81,high,whatsapp_group_chat
"Aishrcj, you are such a sex in this group. #905b",Sexual Harassment,Individual,0.69,medium,whatsapp_group_chat
"Laqnimxnv, nee tumba saayi madthiya maga tara idiya maga. #f3ee",Threat,Individual,0.7,medium,whatsapp_group_chat
"People are tired of your fair suck of the sav attitude, Pzeoqcjfbx. #2850",Harassment,Individual,0.54,high,whatsapp_group_chat
"Lgdsdimcot, ivattu full ninna ammanakeya maga mode nalli idiya. #ee65",Sexual Harassment,Individual,0.48,high,whatsapp_group_chat
"Rrrvbrwd, you are such a split tongue in this group. #a87e",Insult,Individual,0.61,high,whatsapp_group_chat
"Ivattu kooda sexy baby tara act madtidya, Qhnlxejrdm. #3fed",Sexual Harassment,Individual,0.48,high,whatsapp_group_chat
"Iibx, stop acting like a total pussy every day. #95ed",Sexual Harassment,Individual,0.4,low,whatsapp_group_chat
"Jzynqdr, yaaru kuda ninna joker thara nature ishta padalla. #ac91",Insult,Individual,0.62,medium,whatsapp_group_chat
"People are tired of your hell attitude, Lhfn. #e22f",Harassment,Individual,0.62,medium,whatsapp_group_chat
"Ninna haavu bro neenu behavior nodi everyone frustrate agta idare, Lotg. #6b79",Harassment,Individual,0.36,medium,whatsapp_group_chat
"Ideats, you are such a dog in this group. #6114",Insult,Individual,0.37,medium,whatsapp_group_chat
"People are tired of your ass attitude, Ykxpf. #932d",Harassment,Individual,0.73,medium,whatsapp_group_chat
"Ivattu kooda joker thara tara act madtidya, Mwasnkca. #a5a2",Insult,Individual,0.69,high,whatsapp_group_chat
"Quifoqrpgy, nee tumba sade tara idiya maga. #a41d",Insult,Individual,0.55,high,whatsapp_group_chat
"Only a nigga will spam the group like you, Wuv. #aef0",Harassment,Individual,0.65,high,whatsapp_group_chat
"Group nalli a tara nin thullu keya baribeda, Arwlaei. #00d5",Sexual Harassment,Individual,0.52,medium,whatsapp_group_chat
"Czst, you are such a 69 in this group. #0084",Sexual Harassment,Individual,0.54,low,whatsapp_group_chat
"Iylkwrn, stop acting like a total dimwit every day. #2fef",Insult,Individual,0.49,low,whatsapp_group_chat
"Ninna sexy baby behavior nodi everyone frustrate agta idare, Rlmizal. #2297",Sexual Harassment,Individual,0.55,medium,whatsapp_group_chat
"People are tired of your arse attitude, Azvxssspl. #7704",Harassment,Individual,0.48,medium,whatsapp_group_chat
"People are tired of your 69 attitude, Gadavloef. #b66c",Sexual Harassment,Individual,0.69,medium,whatsapp_group_chat
"Usbvdyq, nee tumba dagarina maga tara idiya maga. #7dde",Insult,Individual,0.52,medium,whatsapp_group_chat
"Ikxemkqvbk, yaaru kuda ninna cry baby nature ishta padalla. #9104",Harassment,Individual,0.57,medium,whatsapp_group_chat
"People are tired of your bugger attitude, Jpeexqp. #9261",Insult,Individual,0.65,low,whatsapp_group_chat
"Group nalli a tara muda baribeda, Xdjiwcvwv. #0e78",Insult,Individual,0.68,low,whatsapp_group_chat
"Nikmsefs, stop acting like a total rubbish every day. #912e",Insult,Individual,0.5,low,whatsapp_group_chat
"Group nalli a tara sucide madtha baribeda, Qfrttqbr. #f1b9",Threat,Individual,0.45,high,whatsapp_group_chat
"Group nalli ee sexy baby attitude beda, Wblgjm. #ec0a",Sexual Harassment,Individual,0.55,medium,whatsapp_group_chat
"This jerk behaviour is not okay, Cympbh. #8c68",Insult,Individual,0.48,low,whatsapp_group_chat
"Ninna die behavior nodi everyone frustrate agta idare, Grpxuumyz. #b364",Threat,Individual,0.62,medium,whatsapp_group_chat
"Only a damn will spam the group like you, Eqnkdny. #ce25",Insult,Individual,0.41,low,whatsapp_group_chat
"Only a choad will spam the group like you, Dbmlg. #95a3",Insult,Individual,0.75,medium,whatsapp_group_chat
"Group nalli ee sexy baby attitude beda, Dvuxxsm. #ca19",Sexual Harassment,Individual,0.74,medium,whatsapp_group_chat
"Only a cock-socker will spam the group like you, Nsx. #75f0",Sexual Harassment,Individual,0.78,high,whatsapp_group_chat
"Mahhwsadv, you are such a bitch in this group. #1c69",Sexual Harassment,Individual,0.76,high,whatsapp_group_chat
"Sibn, you are such a son of bitch in this group. #5ef1",Insult,Individual,0.5,low,whatsapp_group_chat
"Ninna monkey thara behavior nodi everyone frustrate agta idare, Xztoa. #dd88",Insult,Individual,0.36,low,whatsapp_group_chat
"Yella dina kall nan magane tara mathadbeda, Beskjzc. #b9a8",Insult,Individual,0.4,medium,whatsapp_group_chat
"Tklzkhheh, yaaru kuda ninna sexy bro nature ishta padalla. #29be",Sexual Harassment,Individual,0.34,low,whatsapp_group_chat
"Only a cockfoam will spam the group like you, Foz. #619a",Sexual Harassment,Individual,0.58,low,whatsapp_group_chat
"Tve, ivattu full dusta mode nalli idiya. #d753",Insult,Individual,0.62,medium,whatsapp_group_chat
"People are tired of your ass attitude, Imszzhloyj. #653a",Harassment,Individual,0.41,low,whatsapp_group_chat
"This pussy behaviour is not okay, Mojsoe. #0eb3",Sexual Harassment,Individual,0.47,medium,whatsapp_group_chat
"Rjq, stop acting like a total cockfoam every day. #815e",Sexual Harassment,Individual,0.58,high,whatsapp_group_chat
"People are tired of your bugger attitude, Ghhsafzaz. #ec52",Insult,Individual,0.43,low,whatsapp_group_chat
"Yella dina muklya tara mathadbeda, Cmdrshpgvh. #2d2e",Insult,Individual,0.4,medium,whatsapp_group_chat
"Dmakmsbbt, yaaru kuda ninna monkey thara nature ishta padalla. #aa21",Insult,Individual,0.63,medium,whatsapp_group_chat
"People are tired of your cunt attitude, Udsxiweila. #57f9",Sexual Harassment,Individual,0.47,medium,whatsapp_group_chat
"Qbgv, stop acting like a total bloddy hell every day. #031e",Harassment,Individual,0.51,medium,whatsapp_group_chat
"Eccclrlp, you are such a asswipe in this group. #e172",Insult,Individual,0.59,high,whatsapp_group_chat
"People are tired of your son of bitch attitude, Wuatsaum. #e07f",Insult,Individual,0.5,medium,whatsapp_group_chat
"Group nalli a tara ninna amma maga baribeda, Lufwo. #a09c",Harassment,Individual,0.45,low,whatsapp_group_chat
"Goymgtphxf, stop acting like a total naked every day. #0f9f",Sexual Harassment,Individual,0.6,high,whatsapp_group_chat
"Ywq, yaaru kuda ninna sakath body nature ishta padalla. #d0b9",Harassment,Individual,0.67,low,whatsapp_group_chat
"People are tired of your asshole attitude, Shdm. #1f65",Insult,Individual,0.5,high,whatsapp_group_chat
"Lmdwl, stop acting like a total son of bitch every day. #757b",Insult,Individual,0.74,medium,whatsapp_group_chat
"Aoq, you are such a bloody hell in this group. #6cde",Harassment,Individual,0.31,low,whatsapp_group_chat
"Ninna sexy bro behavior nodi everyone frustrate agta idare, Gtxuxtkk. #99e5",Sexual Harassment,Individual,0.73,medium,whatsapp_group_chat
"Group nalli ee haavu bro neenu attitude beda, Stwyienx. #cd32",Harassment,Individual,0.61,low,whatsapp_group_chat
"Ivattu kooda monkey thara tara act madtidya, Yvaomzwj. #218b",Insult,Individual,0.5,high,whatsapp_group_chat
"Smnshkc, ivattu full thullu keya maga mode nalli idiya. #5cad",Sexual Harassment,Individual,0.46,medium,whatsapp_group_chat
"Hydrgs, yaaru kuda ninna monkey thara nature ishta padalla. #73fe",Insult,Individual,0.62,high,whatsapp_group_chat
"Only a arse will spam the group like you, Gowqejahe. #154a",Harassment,Individual,0.45,high,whatsapp_group_chat
"People are tired of your bollocks attitude, Xoi. #f6f2",Insult,Individual,0.56,high,whatsapp_group_chat
"Ivattu kooda fake character tara act madtidya, Haskbghsv. #e8cf",Harassment,Individual,0.47,high,whatsapp_group_chat
"Aashmvbkew, nee full saayi tara behave madthiya. #56d4",Threat,Individual,0.55,low,whatsapp_group_chat
"Yella dina sucide tara mathadbeda, Cmmsdevhxt. #856e",Threat,Individual,0.65,low,whatsapp_group_chat
"Yella dina kall maga tara mathadbeda, Kwxmc. #273c",Insult,Individual,0.62,high,whatsapp_group_chat
"Lexc, yaaru kuda ninna monkey thara nature ishta padalla. #6ac0",Insult,Individual,0.47,high,whatsapp_group_chat
"Olurap, yaaru kuda ninna sexy bro nature ishta padalla. #1ff1",Sexual Harassment,Individual,0.37,low,whatsapp_group_chat
"Lkxjerun, yaaru kuda ninna sakath body nature ishta padalla. #f72a",Harassment,Individual,0.64,low,whatsapp_group_chat
"Yella dina fake character maga tara mathadbeda, Sxig. #b5e4",Harassment,Individual,0.45,high,whatsapp_group_chat
"Xvvzedaira, you are such a fag in this group. #e414",Insult,Individual,0.71,high,whatsapp_group_chat
"Yella dina sakath body tara mathadbeda, Xeysehth. #32f4",Harassment,Individual,0.59,medium,whatsapp_group_chat
"Dhbzf, nee full joker thara tara behave madthiya. #cfc5",Insult,Individual,0.44,medium,whatsapp_group_chat
"Yella dina keiyanna maga tara mathadbeda, Mfjcqazk. #ebdf",Harassment,Individual,0.72,medium,whatsapp_group_chat
"This bisexual behaviour is not okay, Exk. #21c1",Sexual Harassment,Individual,0.82,high,whatsapp_group_chat
"Ivattu kooda haavu bro neenu tara act madtidya, Rxcwtk. #6945",Sexual Harassment,Individual,0.53,medium,whatsapp_group_chat
"Eqbn, nee tumba le niga maga tara idiya maga. #9481",Harassment,Individual,0.47,medium,whatsapp_group_chat
"Ivattu kooda cry baby tara act madtidya, Dcrca. #181e",Harassment,Individual,0.53,medium,whatsapp_group_chat
"Luubuhr, nee tumba nimmavvana tara idiya maga. #62f5",Harassment,Individual,0.72,high,whatsapp_group_chat
"Hfxdyepf, ivattu full sakath body maga mode nalli idiya. #4980",Harassment,Individual,0.8,high,whatsapp_group_chat
"Ninna fake character behavior nodi everyone frustrate agta idare, Abcnvjtegp. #b8d9",Harassment,Individual,0.72,medium,whatsapp_group_chat
"Bhtsk, nee tumba dagara tara idiya maga. #c5b1",Insult,Individual,0.49,high,whatsapp_group_chat
